title,company,location,url,source,page,category,scraped_at
Be Seen First for this job,Unknown,USA,/co/Volano-Software/Jobs/--in-United-States?uuid=hajGRsZ1purAGLVNZUNSv%2B42UNA%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
Software Engineer- Backend Intern (Summer 2026),Unknown,USA,/co/Astranis/Jobs/--in-United-States?uuid=yZ2jnh7Xu19S1dXxdSFORy60xEw%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
"Software Development Manager, ML Accelerators, AWS Neuron, Annapurna Labs",Unknown,USA,/co/Annapurna-Labs-%28U.S.%29-Inc./Jobs/--in-United-States?uuid=&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
Be Seen First for this job,Unknown,USA,/co/Pharmetika/Jobs/--in-United-States?uuid=&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
Computer Software Developer (Backend),Unknown,USA,/co/P17-Solutions-LLC/Jobs/--in-United-States?uuid=&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
Senior Software Engineer - Backend,Unknown,USA,/co/LiveRamp/Jobs/--in-United-States?uuid=YF%2FFvyVB%2BX5QoOrkMFLl3U07Ja8%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
"Senior Software Engineer, Backend",Unknown,USA,/co/Syllo/Jobs/--in-United-States?uuid=&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
Full Stack Developer,Unknown,USA,"/co/GTT,-LLC/Jobs/--in-United-States?uuid=d8SAPbEyc4Zy1Mo%2Bj%2FcsZri1icU%3D&radius=25",ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
Software Engineer - Backend,Unknown,USA,/co/Artian-AI/Jobs/--in-United-States?uuid=&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
Principal Software Engineer (Backend),Unknown,USA,/co/Veradigm/Jobs/--in-United-States?uuid=RuDYz77je5LqZ89D%2BhL3Uz5uwQo%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
"Staff Software Engineer, Backend (AI Platform)",Unknown,USA,/co/Cresta/Jobs/--in-United-States?uuid=3QjPf9TdsH%2B2TU0BbySWf7S3t38%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
Be Seen First for this job,Unknown,USA,/co/CAREMATIX-INC/Jobs/--in-United-States?uuid=lJGdPb%2BlIkKWGhK5cd0EQXGPKKU%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
Software Engineer - Back-End - Oracle ERP Focused,Unknown,USA,/co/Strategic-Pharmaceutical-Solutions/Jobs/--in-United-States?uuid=NyQTRBjhErjBQeJiwtqQpKn9Nq4%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
"Senior Software Engineer, Backend Systems",Unknown,USA,/co/Rescale/Jobs/--in-United-States?uuid=0F91x5ySFQtVmE5DbU48Cwzp7nU%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
"Staff Software Engineer, Backend",Unknown,USA,/co/Tonal/Jobs/--in-United-States?uuid=eWnn7K4VlELL6JqGBNLp%2FoWiOIY%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
Senior Software Engineer (Backend/.NET),Unknown,USA,/co/On-the-Clock/Jobs/--in-United-States?uuid=&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:00:15.912100
